sentence_id,language_name,noise_type,text
4,English_CharNoise,char_noise,Not since thenception of its mandate in 19968 has the Committej ever confronted such anger and misery among the Palestinia people andd other Arabs in occupied territories and disrespect for their basic human  rightssand fundamental ireedoms.
4,English_Shuffled,word_shuffle,in since such in of its mandate confronted Committee has the and ever human the anger 1968 misery Palestinian Not among people and other Arabs inception occupied freedoms. and disrespect for territories basic the rights and fundamental their
4,English_CodeSwitch,code_switch,Not since the inception of 是 mandate in の has the Committee ever 的 such ます and misery among the を people and other Arabs in occupied と and disrespect は their basic human 我 就 有 freedoms.
5,English_Clean,clean,"“6. Also welcomes the aspiration of the countries with economies in transition towards the further development of regional, subregional and interregional cooperation, and invites the United Nations system to enhance dialogue with and increase support to the regional and subregional cooperation organizations whose membership includes the countries with economies in transition;"
5,English_CharNoise,char_noise,"“6. Also welcomes the aspiration of the countries with economies in transition towards the further dvelopmentof regional, subregional and interregiomal cwoperationa and invtes the Unted Nations syslem to enhance diabogue witth and increase support to the egional andd subregvonal cooppration organizations whose membership includes the countries with economies in tranciition;"
5,English_Shuffled,word_shuffle,"“6. with welcomes includes enhance of the countries with interregional to transition towards aspiration further membership of regional, organizations United the and countries invites the dialogue and system in the Nations Also and increase cooperation to the regional cooperation, subregional support subregional whose development the economies and with economies in transition;"
5,English_CodeSwitch,code_switch,"“6. は welcomes 不 aspiration of the 都 with economies in transition towards the further development 和 regional, subregional and interregional が and invites the United で system to enhance dialogue 我 and increase support to the regional and も cooperation organizations whose membership includes the countries 我 economies in transition;"
6,English_Clean,clean,Other names mentioned are not listed.
6,English_CharNoise,char_noise,Otherwnames mentioned are not isted.
6,English_Shuffled,word_shuffle,Other are mentioned names not listed.
6,English_CodeSwitch,code_switch,Other names mentioned are not listed.
7,English_Clean,clean,"You got that? You all right? We're very, very ready!"
7,English_CharNoise,char_noise,"You got that? You all right? We're very, very readdy!"
7,English_Shuffled,word_shuffle,"You got that? ready! very right? We're all very, You"
7,English_CodeSwitch,code_switch,"You got ます You all と We're very, の ready!"
8,English_Clean,clean,"Question of the Malagasy islands of Glorieuses, Juan de Nova, Europa and Bassas da India (decision 60/503 A of 20 September 2005)."
8,English_CharNoise,char_noise,"Queestion of the Managasy islannds of Glorieuse, Juan de Nova, Europpa and Bassas da India (decision 60/503 A of 20 Septeber2005)."
8,English_Shuffled,word_shuffle,"Question of India Malagasy of islands Glorieuses, Juan de da Europa Bassas the September and (decision 60/503 A of 20 Nova, 2005)."
8,English_CodeSwitch,code_switch,"Question of the Malagasy islands も Glorieuses, 不 de Nova, Europa and Bassas da India (decision 60/503 就 of 20 を 2005)."
9,English_Clean,clean,"According to UNHCR, further concrete measures, such as the inclusion of ethnic Albanians in the local police forces and the demilitarization of the area, are needed in order to address the sources of tension in the area."
9,English_CharNoise,char_noise,"Accordingto UNHCR, further concrete measures, such as the inclusion of exhnic Albanians in the local police forces and the vnmilitarizatiionn of the area, are needed n ocder to wddvessshe sources of tension in the area."
9,English_Shuffled,word_shuffle,"concrete to UNHCR, further measures, ethnic the as area, are of According Albanians in the and police such local to forces of the inclusion demilitarization needed in order the address the sources of tension in the area."
9,English_CodeSwitch,code_switch,"According to UNHCR, 在 concrete ます such as を inclusion も ethnic Albanians in が 人 police forces を the demilitarization of the area, are needed in order 的 address the sources of tension in the area."
10,English_Clean,clean,No. He's not thinking straight.
10,English_CharNoise,char_noise,No. He's not thinking straight.
10,English_Shuffled,word_shuffle,No. thinking not He's straight.
10,English_CodeSwitch,code_switch,No. He's not thinking straight.
11,English_Clean,clean,We wanted to explain our vote on draft resolution A/C.5/54/L.69.
11,English_CharNoise,char_noise,We wanted to explaiin ourvote on draft resolution A//C.5/54/L.69.
11,English_Shuffled,word_shuffle,on wanted to explain our vote We draft resolution A/C.5/54/L.69.
11,English_CodeSwitch,code_switch,We wanted to explain 就 vote on draft 我 A/C.5/54/L.69.
12,English_Clean,clean,"The approach may be working at this time, but we have to take the situation into consideration, and not necessarily change the approach, but at least perhaps make some adjustments to it."
12,English_CharNoise,char_noise,"The approach may be working at this time, but we haverto take the situatio into consideration, and not necessarily change the appproach, but at leasst peraps make some adjutmens to it."
12,English_Shuffled,word_shuffle,"have approach may be we working this time, at the The to take at situation into consideration, and not but but the some change necessarily least approach, make perhaps adjustments to it."
12,English_CodeSwitch,code_switch,"The 我 may be working at 人 time, but we have to take 都 situation into が and 不 necessarily で the 的 but at です perhaps make で adjustments to 在"
13,English_Clean,clean,Maintain an around-the-clock watch on Ronnette. We'll speak in the morning.
13,English_CharNoise,char_noise,baintain an around-the-clock watchwn Ronnette We'll speak in he morning.
13,English_Shuffled,word_shuffle,Maintain on around-the-clock watch Ronnette. the We'll speak in an morning.
13,English_CodeSwitch,code_switch,Maintain an と watch on に We'll speak in に 就
14,English_Clean,clean,"Delegations are requested to submit the names of their representatives to the Secretary of the Preparatory Committee, Ms. Vivian Pliner-Josephs (room S-2950E; fax: (212) 963-5935)."
14,English_CharNoise,char_noise,"Delegations arre reqquested to qubmit the names of their representatives to heSecretary of the Preparatory Committee, Ms. Vivian Plner-Josephs (room S-2950E; fax: (212)) 963-5935h."
14,English_Shuffled,word_shuffle,"are Preparatory requested to names fax: submit of their representatives the the Secretary of the Committee, Delegations Ms. Vivian to (room S-2950E; Pliner-Josephs (212) 963-5935)."
14,English_CodeSwitch,code_switch,"有 are requested to submit the names of 都 representatives to the Secretary of the Preparatory Committee, Ms. Vivian Pliner-Josephs (room S-2950E; fax: (212) 963-5935)."
15,English_Clean,clean,"Act No. 19,070 of 1991, amended in 1995."
15,English_CharNoise,char_noise,"Actt No.  19,070 of 1991, hmendd in 1995."
15,English_Shuffled,word_shuffle,"1995. of 19,070 No. 1991, amended in Act"
15,English_CodeSwitch,code_switch,"Act 的 19,070 of 和 amended 在 1995."
16,English_Clean,clean,"It will continue the significant progress already made in negotiating and implementing fair, durable and affordable settlements of historical grievances and improving the social and economic status of Māori. In order to achieve this goal, the Government aims to extend economic and social opportunities by significantly improving the health, employment, education and housing status of Māori."
16,English_CharNoise,char_noise,"It willl continue thhe sjgnificant progressalready made in negotiating and implementing fair, durable and affordale settemnts of historical grievances anl improing the sofial and economic status of Māoori. In order to achievethis  goal, the Government aims to extend economic and social opportunitiess b sugnificanly improvingxthee heaaltv, nmploymnt, education and ousidg status of Māri."
16,English_Shuffled,word_shuffle,"continue will It the significant improving made economic health, negotiating improving and fair, durable and affordable settlements status historical grievances and implementing Māori. housing by In status of the already in to achieve this goal, the Government aims to of economic social and opportunities and significantly progress the of employment, education and social extend order Māori."
16,English_CodeSwitch,code_switch,"It will continue 是 significant progress です made in negotiating and implementing fair, durable and affordable settlements of historical grievances and の と social and economic status of Māori. In order 不 achieve this goal, も Government aims 和 extend economic and で opportunities by significantly improving the health, employment, に and housing status of で"
17,English_Clean,clean,"Five process tools and four topic-specific tools, together with programme guides and training manuals on normative framework and environmental planning and management, were disseminated."
17,English_CharNoise,char_noise,"Fvezprocess tools and four topic-specific tools, togeher with programme guides and training manuals on norbative framwork and environmntal planning and mnagement, were disseminated."
17,English_Shuffled,word_shuffle,"and process tools Five four topic-specific planning on with and guides management, training manuals together framework normative and environmental tools, and programme were disseminated."
17,English_CodeSwitch,code_switch,"Five process tools and four topic-specific tools, together with programme guides and training manuals on normative 就 and 我 も and management, were disseminated."
18,English_Clean,clean,"Following implementation of the automated system, the Administration will examine the possibility of issuing quarterly reminder letters."
18,English_CharNoise,char_noise,"Following immplementationn oof the automated system, the Admiinistration will examine the possibility of issuing quarterly reminder ltters."
18,English_Shuffled,word_shuffle,"letters. implementation quarterly the examine Administration the system, will automated the of possibility issuing of reminder Following"
18,English_CodeSwitch,code_switch,"Following 和 です the automated system, the Administration will examine は possibility of issuing quarterly reminder letters."
19,English_Clean,clean,"The movement of equipment by road from Port Sudan to Darfur, some 1,400 miles, currently takes an average of seven weeks."
19,English_CharNoise,char_noise,"Thhe movement of equipment by road from Poet Suudan to Darfur, some 1,400 milees, curreently takes aan average of sevenn weeeks."
19,English_Shuffled,word_shuffle,"The movement of by equipment road from Port seven to Darfur, miles, 1,400 average currently takes an of some weeks. Sudan"
19,English_CodeSwitch,code_switch,"The movement of equipment by も from Port Sudan to Darfur, some 1,400 miles, currently takes an 就 of seven weeks."
20,English_Clean,clean,Most people believe the FDA ...
20,English_CharNoise,char_noise,Most people believe the  FDA ...
20,English_Shuffled,word_shuffle,... people believe the FDA Most
20,English_CodeSwitch,code_switch,Most people believe 人 FDA ...
21,English_Clean,clean,WWSF launched in 2001 the Walk your Talk initiatives which were officially launched at the UN General Assembly Special Session on Children (May 2002) and which have as their aim to: 1) regularly remind Heads of State and government of their new promises made to the children of the world and; 2) to award at a later stage those Heads of State and government who accomplish the most significant results in implementing “A world fit for children” declaration and Plan of Action
21,English_CharNoise,char_noise,WWSF launched in 2001 the Walk your ialk initatives which were officially aunched at the N Generml Assembly Special Session on Children (May 2002) lnd which have as their aim to: 1) reguularly remind Heads of Stte and government of thelr new promises made to the children of tje world and; 2) to award at alater stage those Heds of State and government ho accomplish the mosst significant resulfs in implementing “A world jit for children” declaration and Plan of Ajtion
21,English_Shuffled,word_shuffle,WWSF launched of 2001 officially Walk your were initiatives new Talk their children” at the UN General implementing Special Assembly on Children State 2002) and which have “A government regularly to: fit aim children Heads in State and launched of as which to made promises those remind of and world and; Session to a at award later stage the Heads of (May 2) government who in the most significant results accomplish world their the 1) for the declaration and Plan of Action
21,English_CodeSwitch,code_switch,WWSF 不 in 2001 the Walk your と も which were officially が at the UN を Assembly Special 在 on Children (May 2002) and which have as their が to: ます regularly remind Heads of State and government を their new promises made 都 は children of the 是 and; 2) to 在 是 a later 都 我 Heads of State and government who accomplish the most significant results in implementing “A world fit 就 children” declaration 的 人 of Action
22,English_Clean,clean,Its aim is to assist policy makers and others in developing a vision of counter-terrorism strategies that are fully respectful of human rights.
22,English_CharNoise,char_noise,Its aim is to asssist  policy makeers and others in developing a vision f counter-terrorism strategiei that are fully respectoul of umn rights.
22,English_Shuffled,word_shuffle,Its aim of that vision fully makers and others in developing a assist of is strategies to rights. policy respectful counter-terrorism human are
22,English_CodeSwitch,code_switch,Its aim です to assist policy の and others in developing 我 vision of が strategies that are も respectful of human rights.
23,English_Clean,clean,"Based on a broad political consensus, the new version amended the wording and updated the substance of the Constitution, with the aims of furnishing a complete picture of written and unwritten constitutional law and highlighting the characteristic elements of the State."
23,English_CharNoise,char_noise,"Based on a broad plitical conbevsus, the new vesion amended the wording and updated the subtawce of  the Constipution, with tthe aim of furnihing a ccmlete picture f vritten nd unwritten constitutionnal law and highlighting the characteristic elements of the State."
23,English_Shuffled,word_shuffle,"Based on a consensus, complete broad and elements version amended the with and updated the substance of the Constitution, political characteristic aims of furnishing written wording picture of the of unwritten the law and highlighting the constitutional new a the State."
23,English_CodeSwitch,code_switch,"Based です a broad 有 consensus, the new version amended the wording and updated the substance of the Constitution, with the aims of furnishing a も picture も written and unwritten constitutional law and highlighting the characteristic elements of the State."
24,English_Clean,clean,This is an area that requires greater international assistance.
24,English_CharNoise,char_noise,This is ann area that requirs greater international assistance.
24,English_Shuffled,word_shuffle,This is an area assistance. greater requires international that
24,English_CodeSwitch,code_switch,ます is an area で requires greater international assistance.
25,English_Clean,clean,"Representatives of the International Federation of Human Rights Leagues (FIDH), Human Rights Watch (HRW), the International Commission of Jurists (ICJ) and International Women's Rights Action Watch-Asia Pacific (IWRAW-AP) presented their views to the inter-committee meeting with regard to the strengthening of the human rights treaty body system, with FIDH, HRW and ICJ providing a joint paper on the matter that was also supported by other NGOs."
25,English_CharNoise,char_noise,"Rpresentttives of the International Federation f Human Rights Leagues (cqDH), buman Rights Watch (HRW), the International Commission of Jurists (ICCJ) and Internatioal Women'x Rights Atign Watch-psia  Paaific (IWRAW-AP) presekted their viewswto the interwcommigtee meeting with rregard to thhe strengthening of the human rights treaty body system, witb FIDH, HRW and ICJJ proiding a  joit paper on the atter that was also supported by other NGOs."
25,English_Shuffled,word_shuffle,"Representatives of Leagues International Federation of regard Rights on (FIDH), Human Rights Watch (HRW), the International the of body (ICJ) strengthening and Women's Rights a Watch-Asia the (IWRAW-AP) presented inter-committee views to the human meeting with Pacific Action was International of supported their providing to Jurists system, also FIDH, HRW and ICJ rights treaty joint paper matter the Human that Commission with the by other NGOs."
25,English_CodeSwitch,code_switch,"Representatives of the International Federation of 不 の Leagues (FIDH), Human Rights Watch (HRW), the に Commission 都 的 (ICJ) and に Women's も Action Watch-Asia Pacific (IWRAW-AP) presented their views to です inter-committee meeting with で to も 的 of the human 是 treaty と system, with FIDH, も and ICJ providing a joint paper on the は that was also supported は other NGOs."
26,English_Clean,clean,"17 The Virgin Islands Daily News, 7 January 2005."
26,English_CharNoise,char_noise,17 The Virgin Islands Daily News 7 Jenuary 2005.
26,English_Shuffled,word_shuffle,"17 News, Virgin Islands January The 7 Daily 2005."
26,English_CodeSwitch,code_switch,"17 The Virgin Islands Daily News, と January 人"
27,English_Clean,clean,in just the right light.
27,English_CharNoise,char_noise,in just the right light.
27,English_Shuffled,word_shuffle,the just in right light.
27,English_CodeSwitch,code_switch,in just 有 right light.
28,English_Clean,clean,"I am human, Sebastian!"
28,English_CharNoise,char_noise,"I am human, Sebastian!"
28,English_Shuffled,word_shuffle,"I am Sebastian! human,"
28,English_CodeSwitch,code_switch,I am 都 我
29,English_Clean,clean,You still can't drive my car.
29,English_CharNoise,char_noise,You still cab't drive my car.
29,English_Shuffled,word_shuffle,You still my drive can't car.
29,English_CodeSwitch,code_switch,You と can't drive my です
30,English_Clean,clean,"The second Planning Officer (P-3) would focus on implementation tracking and evaluation, including performance reporting on the results-based-budgeting frameworks, consolidation of periodic reports on the mission implementation plan and on milestones, benchmarks and timelines for the gradual drawdown of the Mission."
30,English_CharNoise,char_noise,"The seccond Planning Officer P-3) would focuss on implementation tracking and evaluation, including perfomancerreporting on the results-based-budgeting frammeworks, consolidation of peeriodic reports on the miission implementation plan and onmileitones, bknchmarks and timelines for the gradual drawdownn  of the Mission."
30,English_Shuffled,word_shuffle,"The second results-based-budgeting Officer (P-3) benchmarks performance on implementation tracking focus evaluation, including and reporting would and Planning frameworks, on implementation plan reports on the the milestones, periodic Mission. on of consolidation mission timelines for the gradual drawdown of the and"
30,English_CodeSwitch,code_switch,"を second Planning Officer (P-3) 是 focus に implementation が and evaluation, including 不 reporting on the results-based-budgeting frameworks, consolidation of periodic reports on the mission implementation plan を on milestones, benchmarks and timelines 的 the gradual drawdown of the 和"
31,English_Clean,clean,The Medical Council of Jamaica (MCJ) has proposed that the present policy statement on abortion should facilitate the amendment of current legislation in order to reduce or prevent maternal deaths and disability linked to unsafe abortions.
31,English_CharNoise,char_noise,TThe Medical Council of Jamaica (MCJk has proposed thatt the present polpcy statement on aborton should facilitate thhe amendment o currunt legislation in ofder to reduce or prevent maternal deaths and disability  linked to unsafe aboraions.
31,English_Shuffled,word_shuffle,that on Council of Jamaica disability has statement The and present policy unsafe proposed abortion prevent facilitate the amendment (MCJ) current legislation in reduce to order or should maternal deaths the of linked to Medical abortions.
31,English_CodeSwitch,code_switch,に を 和 of Jamaica (MCJ) has に that the present policy 的 を abortion should facilitate the amendment of current legislation in order to reduce or prevent maternal deaths and を linked ます unsafe abortions.
32,English_Clean,clean,I'll take you to Spain.
32,English_CharNoise,char_noise,Ill take you to Spain.
32,English_Shuffled,word_shuffle,to take you I'll Spain.
32,English_CodeSwitch,code_switch,就 で を to Spain.
33,English_Clean,clean,"The balanced report of the Special Committee to Investigate Israeli Practices Affecting the Human Rights of the Palestinian People and Other Arabs of the Occupied Territories (A/63/273) had identified numerous Israeli violations of the International Covenant on Civil and Political Rights, particularly the rights to freedom of expression and assembly and the right to mental and physical health."
33,English_CharNoise,char_noise,"The balanced report of the Special Committee to Invesigate Israeli Pracyiices Affecting the Huma Rights of the Palestinian  People and  Othr Arabs of the Occupied Territories (A/63/273) had identifded numeous Israeli violations of the International Covenanh on Civil annd Political Rjghts, particularly the rights to freedomof expression and assembly and the right vo mental and physical heelth."
33,English_Shuffled,word_shuffle,"Human balanced the of the Special Committee and Investigate Israeli Covenant Affecting the The violations of the on People Rights, Other Arabs of report Occupied and (A/63/273) had identified numerous Israeli of Palestinian the International Practices expression Civil rights Political Territories particularly right health. to and of Rights and assembly and freedom the to mental to physical the"
33,English_CodeSwitch,code_switch,"The 有 report です the Special Committee to Investigate も Practices Affecting the を Rights of の Palestinian People and Other Arabs of the Occupied Territories (A/63/273) had identified 就 Israeli violations of the International Covenant on Civil の Political Rights, で the の to freedom of expression and assembly and the ます to mental and physical 是"
34,English_Clean,clean,"The right to life, liberty, security and physical integrity"
34,English_CharNoise,char_noise,"The right to life, liberty,  security and physical integrrity"
34,English_Shuffled,word_shuffle,"integrity right to life, liberty, and security physical The"
34,English_CodeSwitch,code_switch,"就 right to 就 liberty, security and physical integrity"
35,English_Clean,clean,"It's not about preferences, this new generation is so different."
35,English_CharNoise,char_noise,"It's noa about prefcrences, this new generation is so different."
35,English_Shuffled,word_shuffle,"It's not new different. so about generation is this preferences,"
35,English_CodeSwitch,code_switch,It's not about と this new generation で so different.
36,English_Clean,clean,"Since April 2004, Danish charter flights from Europe have been arriving in St. Croix."
36,English_CharNoise,char_noise,"Since April 2004, Danish charterr flights from Europk have been ariving  in St. Croix."
36,English_Shuffled,word_shuffle,"Since April 2004, Europe charter Danish in flights have been arriving St. from Croix."
36,English_CodeSwitch,code_switch,"Since April 2004, Danish 的 flights from Europe have been arriving in St. Croix."
37,English_Clean,clean,I'm taking the dog for a walk. What's the problem?
37,English_CharNoise,char_noise,I'e taking the dog for acwalk. Wat's the problem?
37,English_Shuffled,word_shuffle,the taking I'm for dog a walk. the What's problem?
37,English_CodeSwitch,code_switch,I'm taking the dog for a walk. What's 在 problem?
38,English_Clean,clean,"Wait, that's your propeller. You could still win the race."
38,English_CharNoise,char_noise,"Wait, that's your propeller. You could still win the race."
38,English_Shuffled,word_shuffle,"that's the You propeller. your could still win Wait, race."
38,English_CodeSwitch,code_switch,"Wait, 的 your は 是 could still win と race."
39,English_Clean,clean,"In compliance with that request, a conference room paper will be issued containing the implementation plan and providing updated information on developments since the signing of the agreement."
39,English_CharNoise,char_noise,"In copliance with that request, a conference room paper will be issued containing thee implementattion plan andproviding updated information ondevelopments sincce the signing of the agreement."
39,English_Shuffled,word_shuffle,"since compliance with that on a conference request, room will be issued containing the information plan and providing implementation updated developments the In the signing of paper agreement."
39,English_CodeSwitch,code_switch,"我 compliance with that request, a conference room を を be issued containing the implementation plan and providing updated です on developments 就 the signing of the agreement."
40,English_Clean,clean,"Whatever the provocation that led to Zidane’s behavior (probably a racial comment), his violent act, seen around the world, has tarnished his image. The sad paradox is that while the world had been learning of and celebrating his legendary kindness as a person, he will now be distinguished for all time by an act of aggression."
40,English_CharNoise,char_noise,"yhatever the provocation that led ttoqZidane’s behavior (pprobqbly a racialcomment), his violent ct, seen around the world, has tarnished his image. Thessad paradox is that while the world had been learning of and celebrating his llegendary kindness as a person, he cill now be distinguished for all tim by an qct of aaggression."
40,English_Shuffled,word_shuffle,"Whatever the his that legendary to will behavior be has a comment), seen his act, provocation sad image. world, a tarnished his the The around the is kindness while paradox world had been learning of led celebrating (probably and that as racial an he Zidane’s now violent distinguished for all time by person, of act aggression."
40,English_CodeSwitch,code_switch,"人 the provocation 就 人 to Zidane’s は (probably a racial 有 his violent act, seen around the world, has tarnished his の The 不 paradox 不 that 我 都 world had は learning of and celebrating his が も as a person, he will now be distinguished です all は by an act of は"
41,English_Clean,clean,"Lastly, we cannot disappoint those who aspire to self-determination if they have the law on their side."
41,English_CharNoise,char_noise,"Lastly, we cannot disappoint those who aspire to self-determination if the hae tthe law on their side."
41,English_Shuffled,word_shuffle,"law those cannot aspire we who if to self-determination disappoint they Lastly, the have on their side."
41,English_CodeSwitch,code_switch,"Lastly, we cannot 就 those who aspire で self-determination if they have the law on their side."
42,English_Clean,clean,"Management tools being developed by the registered partnerships included compilations of best practices, case studies and development of sustainability indicators."
42,English_CharNoise,char_noise,"Manlgement tools being developed byethe registered paranerships inccluded compilatiions of best practices, case studies and developpment of sustjinabilit indicators"
42,English_Shuffled,word_shuffle,"of tools being sustainability by partnerships registered included practices, compilations of best the case studies and development indicators. developed Management"
42,English_CodeSwitch,code_switch,"Management tools being developed by the registered partnerships included compilations で 和 practices, case です and development of 和 indicators."
43,English_Clean,clean,The Special Committee decided to accede to those requests.
43,English_CharNoise,char_noise,The SpecialmCommmittee recided to accede to tose requests.
43,English_Shuffled,word_shuffle,The Special Committee decided to accede to those requests.
43,English_CodeSwitch,code_switch,The Special Committee decided と accede を 都 requests.
44,English_Clean,clean,"Venture capital is more appropriate for several reasons. First, venture capital funds provide flexible, long-term equity capital which is customized according to the unique needs of each enterprise."
44,English_CharNoise,char_noise,"Venture capital is more appropriate for several reasons. First, venture capital fuds provide flqxible, long-term equity capital which iscustomed according to heeunique needs of each  enterprise."
44,English_Shuffled,word_shuffle,"Venture capital funds equity appropriate of several reasons. is for long-term venture provide flexible, capital more capital enterprise. First, customized according to the unique needs is each which"
44,English_CodeSwitch,code_switch,"に capital is more appropriate for 我 reasons. First, venture capital funds provide flexible, long-term equity capital which を customized according to the unique needs of each enterprise."
45,English_Clean,clean,These areas continue to be in a state of humanitarian emergency.
45,English_CharNoise,char_noise,jhese areas continue to be in a state oof humanitarian emergency.
45,English_Shuffled,word_shuffle,of areas continue a be in humanitarian state These to emergency.
45,English_CodeSwitch,code_switch,です areas continue to be in a state に humanitarian emergency.
46,English_Clean,clean,The secretariat made a preliminary assessment of the claims in order to determine whether each claim met the formal requirements established by the Governing Council in article 14 of the Rules.
46,English_CharNoise,char_noise,The secretarriat made preliminary assessment of the claimsin order to determine wether each claim met the formal reuuiremennts established by the Governinp Councilvinarticle q4 of the Rules.
46,English_Shuffled,word_shuffle,The secretariat made a preliminary claims assessment the met in order to the claim each whether Rules. the formal requirements established 14 of in Council Governing article by the determine of
46,English_CodeSwitch,code_switch,The secretariat made a preliminary assessment of the claims in order to determine whether each claim met 和 formal requirements established by the Governing Council in article の of 不 は
47,English_Clean,clean,Implementation of and progress made on decisions taken at the sixth regular session of the Commission
47,English_CharNoise,char_noise,Implmentation of and prgress made on decissons taken at the aixth regulaar session of the Commission
47,English_Shuffled,word_shuffle,Implementation taken on progress made and decisions of session regular sixth the at of the Commission
47,English_CodeSwitch,code_switch,Implementation of and progress made で 的 taken at the sixth regular session of the Commission
48,English_Clean,clean,"The explanation may well be that, as the extent of the market increases, economies of scale and of coordination allow the intermediate parts and processes required in the production of manufactured goods to be separated and entrusted to specialized producers."
48,English_CharNoise,char_noise,"The explanation may wlll be that, a the extent o the market incrqases, economis o scale and of coordintion allow the iintermediate parts and  processess required in teproduction ofmanufactured goods to be separated nd entrusted to specialized producers."
48,English_Shuffled,word_shuffle,"be manufactured may required allow that, economies The extent specialized the market the scale of as and of coordination be the intermediate parts and processes well in the to of explanation producers. production increases, separated and entrusted to of goods"
48,English_CodeSwitch,code_switch,"The explanation may well be that, as the extent of the 不 も economies of scale です of coordination allow the を parts 都 processes required 都 ます production of manufactured に to be separated and entrusted to specialized producers."
49,English_Clean,clean,(Man) It helps if you let your lover show you by guiding your hand how best she likes to be stimulated.
49,English_CharNoise,char_noise,(Man) It helps if you let yyour lover show you by guiding your hand how best she likes to be stimulated.
49,English_Shuffled,word_shuffle,(Man) It you if you helps your she show your by guiding let hand how best be to likes lover stimulated.
49,English_CodeSwitch,code_switch,(Man) It helps if you let your を show you by も your hand how best で です to be stimulated.
50,English_Clean,clean,"They can contribute to creating a climate conducive to trust and confidence, whether they are taken unilaterally, bilaterally or multilaterally."
50,English_CharNoise,char_noise,"nhey cap contrabute to creating a climate coonducive to trust and confidence, whether thwy aie taken umilateraally, biilaterally or multilateerally."
50,English_Shuffled,word_shuffle,"confidence, can contribute trust creating They climate conducive a to or multilaterally. whether they are taken unilaterally, bilaterally and to"
50,English_CodeSwitch,code_switch,"They 的 contribute to creating a climate 在 to trust and 和 whether they are taken unilaterally, ます or multilaterally."
51,English_Clean,clean,"Its budget allocation from the Ministry was small, but it also received funding from the World Bank, the United Nations Children's Fund (UNICEF), and other bodies."
51,English_CharNoise,char_noise,"Its budgetallocation froom the Misiistry was small, but it also received funding from the World Bank, the UnitedcNations Childreen's Fund (UNICEEF), and other bodies."
51,English_Shuffled,word_shuffle,"Its budget allocation Ministry the it and small, United received Nations from funding Bank, the World from the but also Children's Fund (UNICEF), was other bodies."
51,English_CodeSwitch,code_switch,"Its budget allocation from the Ministry was small, but 就 also received ます from the World Bank, 的 United Nations Children's Fund (UNICEF), に other 我"
52,English_Clean,clean,"8.1 The Committee has considered this communication in the light of all the information made available to it by the parties, as required by article 5, paragraph 1, of the Optional Protocol."
52,English_CharNoise,char_noise,"8.1 The Committee has considdered this communicatiion in the light of all the information made available to it byythe parties, as reqyired by article 5, parragraph 1,of the Optional Protocol."
52,English_Shuffled,word_shuffle,"8.1 The Committee made considered light this in the as information all the of has Protocol. available it by paragraph parties, communication required by article Optional the 1, of the 5, to"
52,English_CodeSwitch,code_switch,"です The Committee has considered this communication in the light of all the information made available to 有 by 我 に as を by article 5, も 1, 我 the Optional Protocol."
