encoder,sentence_id,lang_a,lang_b,similarity
MiniLM,157,English,Chinese,0.1275
MiniLM,158,English,Chinese,0.9796
MiniLM,159,English,Chinese,0.9269
MiniLM,160,English,Chinese,0.931
MiniLM,161,English,Chinese,0.8279
MiniLM,162,English,Chinese,0.8696
MiniLM,163,English,Chinese,0.7727
MiniLM,164,English,Chinese,0.7558
MiniLM,165,English,Chinese,0.6849
MiniLM,166,English,Chinese,0.829
MiniLM,167,English,Chinese,0.9275
MiniLM,168,English,Chinese,0.9164
MiniLM,169,English,Chinese,0.7996
MiniLM,170,English,Chinese,0.8973
MiniLM,171,English,Chinese,0.6924
MiniLM,172,English,Chinese,0.6921
MiniLM,173,English,Chinese,0.8514
MiniLM,174,English,Chinese,0.8703
MiniLM,175,English,Chinese,0.9269
MiniLM,176,English,Chinese,0.8494
MiniLM,177,English,Chinese,0.9332
MiniLM,178,English,Chinese,0.8746
MiniLM,179,English,Chinese,0.8088
MiniLM,180,English,Chinese,0.9923
MiniLM,181,English,Chinese,0.9642
MiniLM,182,English,Chinese,0.3301
MiniLM,183,English,Chinese,0.871
MiniLM,184,English,Chinese,0.7203
MiniLM,185,English,Chinese,0.3872
MiniLM,186,English,Chinese,0.8331
MiniLM,187,English,Chinese,0.8901
MiniLM,188,English,Chinese,0.8987
MiniLM,189,English,Chinese,0.8458
MiniLM,190,English,Chinese,0.8734
MiniLM,191,English,Chinese,0.8494
MiniLM,192,English,Chinese,0.8598
MiniLM,193,English,Chinese,0.635
MiniLM,194,English,Chinese,0.7733
MiniLM,195,English,Chinese,0.9371
MiniLM,196,English,Chinese,0.9439
MiniLM,197,English,Chinese,0.985
MiniLM,198,English,Chinese,0.9395
MiniLM,199,English,Chinese,0.5071
MiniLM,200,English,Chinese,0.7607
MiniLM,201,English,Chinese,0.7588
MiniLM,202,English,Chinese,0.1204
MiniLM,203,English,Chinese,0.9471
MiniLM,204,English,Chinese,0.8605
MiniLM,205,English,Chinese,0.8299
MiniLM,206,English,Chinese,0.6113
MiniLM,207,English,Chinese,0.9559
MiniLM,208,English,Chinese,0.9164
MiniLM,209,English,Chinese,0.8849
MiniLM,210,English,Chinese,0.8288
MiniLM,211,English,Chinese,0.7271
MiniLM,212,English,Chinese,0.1172
MiniLM,213,English,Chinese,0.8558
MiniLM,214,English,Chinese,0.9139
MiniLM,215,English,Chinese,0.794
MiniLM,216,English,Chinese,0.8861
MiniLM,217,English,Chinese,0.7907
MiniLM,218,English,Chinese,0.7761
MiniLM,219,English,Chinese,0.8887
MiniLM,220,English,Chinese,0.9187
MiniLM,221,English,Chinese,0.6763
MiniLM,222,English,Chinese,0.8482
MiniLM,223,English,Chinese,0.8753
MiniLM,224,English,Chinese,0.9145
MiniLM,225,English,Chinese,0.7242
MiniLM,226,English,Chinese,0.7796
MiniLM,227,English,Chinese,0.5014
MiniLM,228,English,Chinese,0.8509
MiniLM,229,English,Chinese,0.1797
MiniLM,230,English,Chinese,0.8145
MiniLM,231,English,Chinese,0.8375
MiniLM,232,English,Chinese,0.4033
MiniLM,233,English,Chinese,0.8879
MiniLM,234,English,Chinese,0.7118
MiniLM,235,English,Chinese,0.8651
MiniLM,236,English,Chinese,0.7322
MiniLM,237,English,Chinese,0.6485
MiniLM,238,English,Chinese,0.9026
MiniLM,239,English,Chinese,0.9218
MiniLM,240,English,Chinese,0.7598
MiniLM,241,English,Chinese,0.615
MiniLM,242,English,Chinese,0.9291
MiniLM,243,English,Chinese,0.9221
MiniLM,244,English,Chinese,0.765
MiniLM,245,English,Chinese,0.934
MiniLM,246,English,Chinese,0.789
MiniLM,247,English,Chinese,0.994
MiniLM,248,English,Chinese,0.9206
MiniLM,249,English,Chinese,0.9439
MiniLM,250,English,Chinese,0.9263
MiniLM,251,English,Chinese,0.9202
MiniLM,252,English,Chinese,0.4796
MiniLM,253,English,Chinese,0.9911
MiniLM,254,English,Chinese,0.9112
MiniLM,255,English,Chinese,0.791
MiniLM,256,English,Chinese,0.5125
MiniLM,257,English,Chinese,0.6969
MiniLM,258,English,Chinese,0.9475
MiniLM,259,English,Chinese,0.8296
MiniLM,260,English,Chinese,0.8116
MiniLM,261,English,Chinese,0.8823
MiniLM,262,English,Chinese,0.7773
MiniLM,263,English,Chinese,0.7679
MiniLM,264,English,Chinese,0.7746
MiniLM,265,English,Chinese,0.3226
MiniLM,266,English,Chinese,0.9304
MiniLM,267,English,Chinese,0.6907
MiniLM,268,English,Chinese,0.8737
MiniLM,269,English,Chinese,0.9206
MiniLM,270,English,Chinese,0.8077
MiniLM,271,English,Chinese,0.7943
MiniLM,272,English,Chinese,0.6751
MiniLM,273,English,Chinese,0.8772
MiniLM,274,English,Chinese,0.024
MiniLM,275,English,Chinese,0.8619
MiniLM,276,English,Chinese,0.8603
MiniLM,277,English,Chinese,0.7665
MiniLM,278,English,Chinese,0.8688
MiniLM,279,English,Chinese,0.8924
MiniLM,280,English,Chinese,0.9129
MiniLM,281,English,Chinese,0.8058
MiniLM,282,English,Chinese,0.5588
MiniLM,283,English,Chinese,0.8416
MiniLM,284,English,Chinese,0.8754
MiniLM,285,English,Chinese,0.7634
MiniLM,286,English,Chinese,0.8743
MiniLM,287,English,Chinese,0.705
MiniLM,288,English,Chinese,0.6769
MiniLM,289,English,Chinese,0.3768
MiniLM,290,English,Chinese,0.7559
MiniLM,291,English,Chinese,0.8959
MiniLM,292,English,Chinese,0.9645
MiniLM,293,English,Chinese,0.8674
MiniLM,294,English,Chinese,0.8443
MiniLM,295,English,Chinese,0.7073
MiniLM,296,English,Chinese,0.932
MiniLM,297,English,Chinese,0.8594
MiniLM,298,English,Chinese,0.7688
MiniLM,299,English,Chinese,0.8462
MiniLM,300,English,Chinese,0.808
MiniLM,301,English,Chinese,0.9412
MiniLM,302,English,Chinese,0.6438
MiniLM,303,English,Chinese,0.8812
MiniLM,304,English,Chinese,0.7995
MiniLM,305,English,Chinese,0.8115
MiniLM,306,English,Chinese,0.8709
MiniLM,307,English,Chinese,0.7592
MiniLM,308,English,Chinese,0.8988
MiniLM,309,English,Chinese,0.8522
MiniLM,310,English,Chinese,0.8534
MiniLM,311,English,Chinese,0.8767
MiniLM,312,English,Chinese,0.7853
MiniLM,313,English,Chinese,0.9857
MiniLM,314,English,Chinese,0.9006
MiniLM,315,English,Chinese,0.8063
MiniLM,316,English,Chinese,0.8401
MiniLM,317,English,Chinese,0.8793
MiniLM,318,English,Chinese,0.8522
MiniLM,319,English,Chinese,0.6366
MiniLM,320,English,Chinese,0.8188
MiniLM,321,English,Chinese,0.9339
MiniLM,322,English,Chinese,0.8987
MiniLM,323,English,Chinese,0.9057
MiniLM,324,English,Chinese,0.8583
MiniLM,325,English,Chinese,1.0
MiniLM,326,English,Chinese,0.8487
MiniLM,327,English,Chinese,0.8947
MiniLM,328,English,Chinese,0.9165
MiniLM,329,English,Chinese,0.8898
MiniLM,330,English,Chinese,0.8417
MiniLM,331,English,Chinese,0.1986
MiniLM,332,English,Chinese,0.9104
MiniLM,333,English,Chinese,0.9158
MiniLM,334,English,Chinese,0.8004
MiniLM,335,English,Chinese,0.6877
MiniLM,336,English,Chinese,0.8148
MiniLM,337,English,Chinese,0.8664
MiniLM,338,English,Chinese,0.8573
MiniLM,339,English,Chinese,0.9366
MiniLM,340,English,Chinese,0.7537
MiniLM,341,English,Chinese,0.6915
MiniLM,342,English,Chinese,0.9064
MiniLM,343,English,Chinese,0.9052
MiniLM,344,English,Chinese,0.9589
MiniLM,345,English,Chinese,0.9474
MiniLM,346,English,Chinese,0.8789
MiniLM,347,English,Chinese,0.9188
MiniLM,348,English,Chinese,0.9413
MiniLM,349,English,Chinese,0.8321
MiniLM,350,English,Chinese,0.8183
MiniLM,351,English,Chinese,0.8623
MiniLM,352,English,Chinese,0.6698
MiniLM,353,English,Chinese,0.867
MiniLM,354,English,Chinese,0.8961
MiniLM,355,English,Chinese,0.8672
MiniLM,356,English,Chinese,0.7016
MiniLM,357,English,Chinese,0.8597
MiniLM,358,English,Chinese,0.8684
MiniLM,359,English,Chinese,0.6018
MiniLM,360,English,Chinese,0.9528
MiniLM,361,English,Chinese,0.892
MiniLM,362,English,Chinese,0.4708
MiniLM,363,English,Chinese,0.3676
MiniLM,364,English,Chinese,0.9095
MiniLM,365,English,Chinese,0.8793
MiniLM,366,English,Chinese,0.9167
MiniLM,367,English,Chinese,0.9079
MiniLM,368,English,Chinese,0.5301
MiniLM,369,English,Chinese,0.8475
MiniLM,370,English,Chinese,0.835
MiniLM,371,English,Chinese,0.8457
MiniLM,372,English,Chinese,0.6254
MiniLM,373,English,Chinese,0.8333
MiniLM,374,English,Chinese,0.7815
MiniLM,375,English,Chinese,0.9093
MiniLM,376,English,Chinese,0.6961
MiniLM,377,English,Chinese,0.9449
MiniLM,378,English,Chinese,0.8463
MiniLM,379,English,Chinese,0.8277
MiniLM,380,English,Chinese,0.7183
MiniLM,381,English,Chinese,0.9057
MiniLM,382,English,Chinese,0.938
MiniLM,383,English,Chinese,0.8055
MiniLM,384,English,Chinese,0.863
MiniLM,385,English,Chinese,0.8395
MiniLM,386,English,Chinese,0.906
MiniLM,387,English,Chinese,0.8811
MiniLM,388,English,Chinese,0.898
MiniLM,389,English,Chinese,0.7152
MiniLM,390,English,Chinese,0.9297
MiniLM,391,English,Chinese,0.6741
MiniLM,392,English,Chinese,0.8575
MiniLM,393,English,Chinese,0.7847
MiniLM,394,English,Chinese,0.8242
MiniLM,395,English,Chinese,0.2402
MiniLM,396,English,Chinese,0.5507
MiniLM,397,English,Chinese,0.8615
MiniLM,398,English,Chinese,0.7552
MiniLM,399,English,Chinese,0.8761
MiniLM,400,English,Chinese,0.6961
MiniLM,401,English,Chinese,0.921
MiniLM,402,English,Chinese,0.892
MiniLM,403,English,Chinese,0.4221
MiniLM,404,English,Chinese,0.8377
MiniLM,405,English,Chinese,0.8749
MiniLM,406,English,Chinese,0.8197
MiniLM,407,English,Chinese,0.8604
MiniLM,408,English,Chinese,0.4943
MiniLM,409,English,Chinese,0.8792
MiniLM,410,English,Chinese,0.7978
MiniLM,411,English,Chinese,0.5316
MiniLM,412,English,Chinese,0.8217
MiniLM,413,English,Chinese,0.4281
MiniLM,414,English,Chinese,0.9295
MiniLM,415,English,Chinese,0.8065
MiniLM,416,English,Chinese,0.8681
MiniLM,417,English,Chinese,0.8333
MiniLM,418,English,Chinese,0.9527
MiniLM,419,English,Chinese,0.9809
MiniLM,420,English,Chinese,0.8394
MiniLM,421,English,Chinese,0.8501
MiniLM,422,English,Chinese,0.7257
MiniLM,423,English,Chinese,0.9358
MiniLM,424,English,Chinese,0.9381
MiniLM,425,English,Chinese,0.9136
MiniLM,426,English,Chinese,0.862
MiniLM,427,English,Chinese,0.8581
MiniLM,428,English,Chinese,0.6668
MiniLM,429,English,Chinese,0.6526
MiniLM,430,English,Chinese,0.6455
MiniLM,431,English,Chinese,0.8537
MiniLM,432,English,Chinese,0.8731
MiniLM,433,English,Chinese,0.8616
MiniLM,434,English,Chinese,0.7422
MiniLM,435,English,Chinese,0.5688
MiniLM,436,English,Chinese,0.9251
MiniLM,437,English,Chinese,0.9068
MiniLM,438,English,Chinese,0.9146
MiniLM,439,English,Chinese,0.913
MiniLM,440,English,Chinese,0.9216
MiniLM,441,English,Chinese,0.6819
MiniLM,442,English,Chinese,0.3688
MiniLM,443,English,Chinese,0.8774
MiniLM,444,English,Chinese,0.1819
MiniLM,445,English,Chinese,0.7996
MiniLM,446,English,Chinese,0.6908
MiniLM,447,English,Chinese,0.8756
MiniLM,448,English,Chinese,0.6062
MiniLM,449,English,Chinese,0.9392
MiniLM,450,English,Chinese,0.5522
MiniLM,451,English,Chinese,0.8714
MiniLM,452,English,Chinese,0.9627
MiniLM,453,English,Chinese,0.7618
MiniLM,454,English,Chinese,0.8851
MiniLM,455,English,Chinese,0.7506
MiniLM,456,English,Chinese,0.8067
MiniLM,457,English,Chinese,0.3947
MiniLM,458,English,Chinese,0.9586
MiniLM,459,English,Chinese,0.4886
MiniLM,460,English,Chinese,0.8228
MiniLM,461,English,Chinese,0.9086
MiniLM,462,English,Chinese,0.7906
MiniLM,463,English,Chinese,0.815
MiniLM,464,English,Chinese,0.8929
MiniLM,465,English,Chinese,0.9348
MiniLM,466,English,Chinese,0.8985
MiniLM,467,English,Chinese,0.9166
MiniLM,468,English,Chinese,0.3822
MiniLM,469,English,Chinese,0.697
MiniLM,470,English,Chinese,0.9043
MiniLM,471,English,Chinese,0.8837
MiniLM,472,English,Chinese,0.7804
MiniLM,473,English,Chinese,0.9247
MiniLM,474,English,Chinese,0.853
MiniLM,475,English,Chinese,0.7522
MiniLM,476,English,Chinese,0.8978
MiniLM,477,English,Chinese,0.4024
MiniLM,478,English,Chinese,0.9159
MiniLM,479,English,Chinese,0.7563
MiniLM,480,English,Chinese,0.9222
MiniLM,481,English,Chinese,0.797
MiniLM,482,English,Chinese,0.9208
MiniLM,483,English,Chinese,0.7884
MiniLM,484,English,Chinese,0.8506
MiniLM,485,English,Chinese,0.485
MiniLM,486,English,Chinese,0.6472
MiniLM,487,English,Chinese,0.899
MiniLM,488,English,Chinese,0.8187
MiniLM,489,English,Chinese,0.7828
MiniLM,490,English,Chinese,0.8517
MiniLM,491,English,Chinese,0.7313
MiniLM,492,English,Chinese,0.8101
MiniLM,493,English,Chinese,0.8911
MiniLM,494,English,Chinese,0.9086
MiniLM,495,English,Chinese,0.8528
MiniLM,496,English,Chinese,0.8337
MiniLM,497,English,Chinese,0.7848
MiniLM,498,English,Chinese,0.7138
MiniLM,499,English,Chinese,0.8751
MiniLM,500,English,Chinese,0.8994
MiniLM,501,English,Japanese,0.5804
MiniLM,502,English,Japanese,0.2287
MiniLM,503,English,Japanese,0.4081
MiniLM,504,English,Japanese,0.08
MiniLM,505,English,Japanese,0.7113
MiniLM,506,English,Japanese,0.5394
MiniLM,507,English,Japanese,0.9194
MiniLM,508,English,Japanese,0.6865
MiniLM,509,English,Japanese,0.8648
MiniLM,510,English,Japanese,0.6661
MiniLM,511,English,Japanese,0.8045
MiniLM,512,English,Japanese,0.8322
MiniLM,513,English,Japanese,0.78
MiniLM,514,English,Japanese,0.6064
MiniLM,515,English,Japanese,0.5308
MiniLM,516,English,Japanese,0.8685
MiniLM,517,English,Japanese,0.7555
MiniLM,518,English,Japanese,0.7244
MiniLM,519,English,Japanese,0.6735
MiniLM,520,English,Japanese,0.7125
MiniLM,521,English,Japanese,0.5946
MiniLM,522,English,Japanese,0.7455
MiniLM,523,English,Japanese,0.3583
MiniLM,524,English,Japanese,0.8239
MiniLM,525,English,Japanese,0.5773
MiniLM,526,English,Japanese,0.7243
MiniLM,527,English,Japanese,0.5149
MiniLM,528,English,Japanese,0.5045
MiniLM,529,English,Japanese,0.649
MiniLM,530,English,Japanese,0.5402
MiniLM,531,English,Japanese,0.8314
MiniLM,532,English,Japanese,0.7005
MiniLM,533,English,Japanese,0.8548
MiniLM,534,English,Japanese,0.5092
MiniLM,535,English,Japanese,0.5914
MiniLM,536,English,Japanese,0.6751
MiniLM,537,English,Japanese,1.0
MiniLM,538,English,Japanese,0.6734
MiniLM,539,English,Japanese,0.5971
MiniLM,540,English,Japanese,0.8595
MiniLM,541,English,Japanese,0.1743
MiniLM,542,English,Japanese,0.4522
MiniLM,543,English,Japanese,0.6696
MiniLM,544,English,Japanese,0.4955
MiniLM,545,English,Japanese,0.7371
MiniLM,546,English,Japanese,0.8318
MiniLM,547,English,Japanese,0.48
MiniLM,548,English,Japanese,0.7798
MiniLM,549,English,Japanese,0.8136
MiniLM,550,English,Japanese,0.8035
MiniLM,551,English,Japanese,0.3611
MiniLM,552,English,Japanese,0.7565
MiniLM,553,English,Japanese,0.9937
MiniLM,554,English,Japanese,0.8211
MiniLM,555,English,Japanese,0.6455
MiniLM,556,English,Japanese,0.8544
MiniLM,557,English,Japanese,0.6487
MiniLM,558,English,Japanese,0.5749
MiniLM,559,English,Japanese,0.4571
MiniLM,560,English,Japanese,1.0
MiniLM,561,English,Japanese,0.5288
MiniLM,562,English,Japanese,0.5736
MiniLM,563,English,Japanese,0.0883
MiniLM,564,English,Japanese,0.4741
MiniLM,565,English,Japanese,0.4516
MiniLM,566,English,Japanese,0.53
MiniLM,567,English,Japanese,0.2605
MiniLM,568,English,Japanese,0.8531
MiniLM,569,English,Japanese,0.3746
MiniLM,570,English,Japanese,0.6837
MiniLM,571,English,Japanese,0.5577
MiniLM,572,English,Japanese,0.5966
MiniLM,573,English,Japanese,0.6239
MiniLM,574,English,Japanese,0.5403
MiniLM,575,English,Japanese,0.6765
MiniLM,576,English,Japanese,0.6609
MiniLM,577,English,Japanese,0.6501
MiniLM,578,English,Japanese,0.5766
MiniLM,579,English,Japanese,0.9716
MiniLM,580,English,Japanese,0.765
MiniLM,581,English,Japanese,0.9215
MiniLM,582,English,Japanese,0.6057
MiniLM,583,English,Japanese,0.4772
MiniLM,584,English,Japanese,0.5243
MiniLM,585,English,Japanese,0.5681
MiniLM,586,English,Japanese,0.5191
MiniLM,587,English,Japanese,0.7943
MiniLM,588,English,Japanese,0.4582
MiniLM,589,English,Japanese,0.8475
MiniLM,590,English,Japanese,0.7746
MiniLM,591,English,Japanese,0.5
MiniLM,592,English,Japanese,0.6789
MiniLM,593,English,Japanese,0.3285
MiniLM,594,English,Japanese,0.2999
MiniLM,595,English,Japanese,0.8207
MiniLM,596,English,Japanese,0.7189
MiniLM,597,English,Japanese,0.7971
MiniLM,598,English,Japanese,0.2539
MiniLM,599,English,Japanese,0.7065
MiniLM,600,English,Japanese,0.7528
MiniLM,601,English,Japanese,0.6996
MiniLM,602,English,Japanese,0.9572
MiniLM,603,English,Japanese,0.6846
MiniLM,604,English,Japanese,0.4594
MiniLM,605,English,Japanese,0.7252
MiniLM,606,English,Japanese,0.8347
MiniLM,607,English,Japanese,1.0
MiniLM,608,English,Japanese,0.1942
MiniLM,609,English,Japanese,0.7603
MiniLM,610,English,Japanese,0.3376
MiniLM,611,English,Japanese,0.3255
MiniLM,612,English,Japanese,0.437
MiniLM,613,English,Japanese,0.5185
MiniLM,614,English,Japanese,0.7626
MiniLM,615,English,Japanese,0.8894
MiniLM,616,English,Japanese,0.9152
MiniLM,617,English,Japanese,0.6639
MiniLM,618,English,Japanese,0.5428
MiniLM,619,English,Japanese,0.7111
MiniLM,620,English,Japanese,0.4673
MiniLM,621,English,Japanese,0.9009
MiniLM,622,English,Japanese,0.6775
MiniLM,623,English,Japanese,0.9479
MiniLM,624,English,Japanese,0.4767
MiniLM,625,English,Japanese,0.3847
MiniLM,626,English,Japanese,0.5121
MiniLM,627,English,Japanese,0.375
MiniLM,628,English,Japanese,0.6731
MiniLM,629,English,Japanese,0.2287
MiniLM,630,English,Japanese,0.5567
MiniLM,631,English,Japanese,0.5083
MiniLM,632,English,Japanese,0.4961
MiniLM,633,English,Japanese,0.8427
MiniLM,634,English,Japanese,0.8544
MiniLM,635,English,Japanese,0.6024
MiniLM,636,English,Japanese,0.7383
MiniLM,637,English,Japanese,0.8724
MiniLM,638,English,Japanese,0.5447
MiniLM,639,English,Japanese,0.4569
MiniLM,640,English,Japanese,0.6338
MiniLM,641,English,Japanese,0.8063
MiniLM,642,English,Japanese,0.2744
MiniLM,643,English,Japanese,0.9194
MiniLM,644,English,Japanese,0.93
MiniLM,645,English,Japanese,0.6586
MiniLM,646,English,Japanese,0.6527
MiniLM,647,English,Japanese,0.4248
MiniLM,648,English,Japanese,0.673
MiniLM,649,English,Japanese,0.6704
MiniLM,650,English,Japanese,0.5179
MiniLM,651,English,Japanese,0.7938
MiniLM,652,English,Japanese,0.5096
MiniLM,653,English,Japanese,0.8432
MiniLM,654,English,Japanese,0.7238
MiniLM,655,English,Japanese,0.909
MiniLM,656,English,Japanese,0.6947
MiniLM,657,English,Japanese,0.6792
MiniLM,658,English,Japanese,0.896
MiniLM,659,English,Japanese,0.6151
MiniLM,660,English,Japanese,0.507
MiniLM,661,English,Japanese,0.5227
MiniLM,662,English,Japanese,0.871
MiniLM,663,English,Japanese,0.5636
MiniLM,664,English,Japanese,0.8771
MiniLM,665,English,Japanese,0.8498
MiniLM,666,English,Japanese,0.8886
MiniLM,667,English,Japanese,0.7276
MiniLM,668,English,Japanese,0.8343
MiniLM,669,English,Japanese,0.6553
MiniLM,670,English,Japanese,0.6667
MiniLM,671,English,Japanese,0.8066
MiniLM,672,English,Japanese,0.7825
MiniLM,673,English,Japanese,0.3418
MiniLM,674,English,Japanese,0.5783
MiniLM,675,English,Japanese,0.7748
MiniLM,676,English,Japanese,0.9439
MiniLM,677,English,Japanese,0.7585
MiniLM,678,English,Japanese,0.7172
MiniLM,679,English,Japanese,0.5025
MiniLM,680,English,Japanese,0.6692
MiniLM,681,English,Japanese,0.6437
MiniLM,682,English,Japanese,0.2254
MiniLM,683,English,Japanese,0.6424
MiniLM,684,English,Japanese,0.4839
MiniLM,685,English,Japanese,0.5601
MiniLM,686,English,Japanese,0.9519
MiniLM,687,English,Japanese,0.8705
MiniLM,688,English,Japanese,0.9537
MiniLM,689,English,Japanese,0.5811
MiniLM,690,English,Japanese,0.4262
MiniLM,691,English,Japanese,0.6088
MiniLM,692,English,Japanese,0.6517
MiniLM,693,English,Japanese,0.5879
MiniLM,694,English,Japanese,0.6272
MiniLM,695,English,Japanese,0.775
MiniLM,696,English,Japanese,0.6511
MiniLM,697,English,Japanese,0.6372
MiniLM,698,English,Japanese,0.5984
MiniLM,699,English,Japanese,0.6477
MiniLM,700,English,Japanese,0.3991
