pair_id,sentence_id_a,sentence_id_b,lang_a,lang_b,text_a,text_b,similarity_score,same_sentence,match_label
24_27,7,7,English,Russian,The train arrives at the station on time.,Поезд прибывает на станцию вовремя.,0.9801,True,
69_70,18,18,Chinese,Japanese,整晚大雨倾盆。,夜通し激しい雨が降った。,0.98,True,
37_39,10,10,Chinese,Russian,孩子比成人学语言更快。,"Дети учат языки быстрее, чем взрослые.",0.9789,True,
72_73,19,19,English,Chinese,The old bridge was built two centuries ago.,这座古桥建于两个世纪前。,0.9786,True,
74_75,19,19,Japanese,Russian,その古い橋は2世紀前に建てられた。,Старый мост был построен два века назад.,0.9782,True,
42_43,11,11,Japanese,Russian,市場は毎週日曜日の朝に開く。,Рынок открывается каждое воскресное утро.,0.9779,True,
24_25,7,7,English,Chinese,The train arrives at the station on time.,火车准时到达车站。,0.9778,True,
0_2,1,1,English,Japanese,The sun rises in the east.,太陽は東から昇る。,0.9776,True,
13_14,4,4,Chinese,Japanese,鸟在冬天向南飞。,鳥は冬に南へ飛ぶ。,0.9775,True,
24_26,7,7,English,Japanese,The train arrives at the station on time.,電車は時間通りに駅に到着する。,0.9769,True,
29_30,8,8,Chinese,Japanese,医生努力工作以拯救生命。,医者は命を救うために懸命に働く。,0.9766,True,
78_79,20,20,Japanese,Russian,知識は最大の宝である。,Знание — величайшее сокровище.,0.9753,True,
76_78,20,20,English,Japanese,Knowledge is the greatest treasure.,知識は最大の宝である。,0.9753,True,
16_19,5,5,English,Russian,The library opens at nine in the morning.,Библиотека открывается в девять утра.,0.9747,True,
60_61,16,16,English,Chinese,Fresh air is good for your health.,新鲜空气对健康有益。,0.9744,True,
25_26,7,7,Chinese,Japanese,火车准时到达车站。,電車は時間通りに駅に到着する。,0.9737,True,
40_43,11,11,English,Russian,The market opens every Sunday morning.,Рынок открывается каждое воскресное утро.,0.9733,True,
36_37,10,10,English,Chinese,Children learn languages faster than adults.,孩子比成人学语言更快。,0.9731,True,
28_29,8,8,English,Chinese,Doctors work hard to save lives.,医生努力工作以拯救生命。,0.9731,True,
73_74,19,19,Chinese,Japanese,这座古桥建于两个世纪前。,その古い橋は2世紀前に建てられた。,0.9729,True,
61_63,16,16,Chinese,Russian,新鲜空气对健康有益。,Свежий воздух полезен для здоровья.,0.9728,True,
49_50,13,13,Chinese,Japanese,河流缓慢地流过山谷。,川はゆっくりと谷を流れる。,0.9726,True,
21_22,6,6,Chinese,Japanese,她每晚睡前读一本书。,彼女は毎晩寝る前に本を読む。,0.9724,True,
56_59,15,15,English,Russian,The dog barked loudly at the stranger.,Собака громко залаяла на незнакомца.,0.9715,True,
48_51,13,13,English,Russian,The river flows slowly through the valley.,Река медленно течёт по долине.,0.9714,True,
60_62,16,16,English,Japanese,Fresh air is good for your health.,新鮮な空気は健康に良い。,0.9713,True,
49_51,13,13,Chinese,Russian,河流缓慢地流过山谷。,Река медленно течёт по долине.,0.9709,True,
76_79,20,20,English,Russian,Knowledge is the greatest treasure.,Знание — величайшее сокровище.,0.9707,True,
22_23,6,6,Japanese,Russian,彼女は毎晩寝る前に本を読む。,Она читает книгу каждую ночь перед сном.,0.9706,True,
38_39,10,10,Japanese,Russian,子供は大人より早く言語を学ぶ。,"Дети учат языки быстрее, чем взрослые.",0.9704,True,
20_22,6,6,English,Japanese,She reads a book every night before sleeping.,彼女は毎晩寝る前に本を読む。,0.9699,True,
46_47,12,12,Japanese,Russian,音楽は人々を結びつける。,Музыка объединяет людей.,0.9694,True,
0_1,1,1,English,Chinese,The sun rises in the east.,太阳从东方升起。,0.9689,True,
1_3,1,1,Chinese,Russian,太阳从东方升起。,Солнце восходит на востоке.,0.9688,True,
72_74,19,19,English,Japanese,The old bridge was built two centuries ago.,その古い橋は2世紀前に建てられた。,0.9676,True,
17_18,5,5,Chinese,Japanese,图书馆早上九点开门。,図書館は朝9時に開く。,0.967,True,
57_59,15,15,Chinese,Russian,狗对陌生人大声吠叫。,Собака громко залаяла на незнакомца.,0.9662,True,
37_38,10,10,Chinese,Japanese,孩子比成人学语言更快。,子供は大人より早く言語を学ぶ。,0.966,True,
48_49,13,13,English,Chinese,The river flows slowly through the valley.,河流缓慢地流过山谷。,0.9659,True,
44_45,12,12,English,Chinese,Music brings people together.,音乐将人们聚集在一起。,0.9651,True,
48_50,13,13,English,Japanese,The river flows slowly through the valley.,川はゆっくりと谷を流れる。,0.9643,True,
36_38,10,10,English,Japanese,Children learn languages faster than adults.,子供は大人より早く言語を学ぶ。,0.9642,True,
50_51,13,13,Japanese,Russian,川はゆっくりと谷を流れる。,Река медленно течёт по долине.,0.9642,True,
70_71,18,18,Japanese,Russian,夜通し激しい雨が降った。,Всю ночь шёл сильный дождь.,0.9627,True,
44_47,12,12,English,Russian,Music brings people together.,Музыка объединяет людей.,0.9613,True,
13_15,4,4,Chinese,Russian,鸟在冬天向南飞。,Птицы летят на юг зимой.,0.9608,True,
29_31,8,8,Chinese,Russian,医生努力工作以拯救生命。,"Врачи усердно работают, чтобы спасать жизни.",0.9602,True,
62_63,16,16,Japanese,Russian,新鮮な空気は健康に良い。,Свежий воздух полезен для здоровья.,0.9601,True,
58_59,15,15,Japanese,Russian,犬は見知らぬ人に大声で吠えた。,Собака громко залаяла на незнакомца.,0.959,True,
52_55,14,14,English,Russian,He forgot his keys at home.,Он забыл ключи дома.,0.9564,True,
12_13,4,4,English,Chinese,Birds fly south in winter.,鸟在冬天向南飞。,0.9549,True,
60_63,16,16,English,Russian,Fresh air is good for your health.,Свежий воздух полезен для здоровья.,0.9547,True,
57_58,15,15,Chinese,Japanese,狗对陌生人大声吠叫。,犬は見知らぬ人に大声で吠えた。,0.9547,True,
65_67,17,17,Chinese,Russian,学生们通过了考试。,Студенты сдали экзамены.,0.9483,True,
28_30,8,8,English,Japanese,Doctors work hard to save lives.,医者は命を救うために懸命に働く。,0.9467,True,
56_57,15,15,English,Chinese,The dog barked loudly at the stranger.,狗对陌生人大声吠叫。,0.9433,True,
66_67,17,17,Japanese,Russian,生徒たちは試験に合格した。,Студенты сдали экзамены.,0.9429,True,
30_31,8,8,Japanese,Russian,医者は命を救うために懸命に働く。,"Врачи усердно работают, чтобы спасать жизни.",0.9425,True,
16_17,5,5,English,Chinese,The library opens at nine in the morning.,图书馆早上九点开门。,0.9412,True,
64_65,17,17,English,Chinese,The students passed their examinations.,学生们通过了考试。,0.935,True,
64_67,17,17,English,Russian,The students passed their examinations.,Студенты сдали экзамены.,0.9335,True,
56_58,15,15,English,Japanese,The dog barked loudly at the stranger.,犬は見知らぬ人に大声で吠えた。,0.9332,True,
64_66,17,17,English,Japanese,The students passed their examinations.,生徒たちは試験に合格した。,0.9318,True,
77_78,20,20,Chinese,Japanese,知识是最大的财富。,知識は最大の宝である。,0.9276,True,
44_46,12,12,English,Japanese,Music brings people together.,音楽は人々を結びつける。,0.9266,True,
76_77,20,20,English,Chinese,Knowledge is the greatest treasure.,知识是最大的财富。,0.9177,True,
45_47,12,12,Chinese,Russian,音乐将人们聚集在一起。,Музыка объединяет людей.,0.9142,True,
52_53,14,14,English,Chinese,He forgot his keys at home.,他把钥匙忘在家里了。,0.9103,True,
68_70,18,18,English,Japanese,Rain fell heavily throughout the night.,夜通し激しい雨が降った。,0.9077,True,
5_7,2,2,Chinese,Russian,水在一百摄氏度时沸腾。,Вода кипит при ста градусах Цельсия.,0.9069,True,
77_79,20,20,Chinese,Russian,知识是最大的财富。,Знание — величайшее сокровище.,0.9044,True,
6_7,2,2,Japanese,Russian,水は摂氏100度で沸騰する。,Вода кипит при ста градусах Цельсия.,0.8982,True,
4_5,2,2,English,Chinese,Water boils at one hundred degrees Celsius.,水在一百摄氏度时沸腾。,0.8954,True,
53_55,14,14,Chinese,Russian,他把钥匙忘在家里了。,Он забыл ключи дома.,0.8868,True,
4_6,2,2,English,Japanese,Water boils at one hundred degrees Celsius.,水は摂氏100度で沸騰する。,0.8835,True,
68_69,18,18,English,Chinese,Rain fell heavily throughout the night.,整晚大雨倾盆。,0.8806,True,
8_10,3,3,English,Japanese,The child is playing in the garden.,子供が庭で遊んでいる。,0.8713,True,
52_54,14,14,English,Japanese,He forgot his keys at home.,彼は鍵を家に忘れた。,0.87,True,
10_11,3,3,Japanese,Russian,子供が庭で遊んでいる。,Ребёнок играет в саду.,0.8637,True,
45_46,12,12,Chinese,Japanese,音乐将人们聚集在一起。,音楽は人々を結びつける。,0.8632,True,
8_9,3,3,English,Chinese,The child is playing in the garden.,孩子在花园里玩耍。,0.8623,True,
54_55,14,14,Japanese,Russian,彼は鍵を家に忘れた。,Он забыл ключи дома.,0.862,True,
68_71,18,18,English,Russian,Rain fell heavily throughout the night.,Всю ночь шёл сильный дождь.,0.856,True,
9_11,3,3,Chinese,Russian,孩子在花园里玩耍。,Ребёнок играет в саду.,0.8529,True,
