sentence_id,language_code,language_name,pair_language,text
29,zh,Chinese,Chinese,在我给你找到新住处前 你可以和我一起住
30,eng_Latn,English,Chinese,The gates will open soon.
30,zh,Chinese,Chinese,The gates will open soon.
31,eng_Latn,English,Chinese,"In six days He created the earth and the heavens and all that is between them; then He established Himself on the ""Throne"" (of the Kingdom of the uriverse). (He is) the Merciful: as to His Glory, ask the one who knows."
31,zh,Chinese,Chinese,在六日内创造天地万物，然后升上宝座的，是至仁主。你应当以他（的德行）请教精明者。
32,eng_Latn,English,Chinese,This is so hard.
32,zh,Chinese,Chinese,这是如此艰难。
33,eng_Latn,English,Chinese,- It's the police!
33,zh,Chinese,Chinese,- 是警察！
34,eng_Latn,English,Chinese,"Adopted by the Security Council at its 5402nd meeting, on 29 March 2006"
34,zh,Chinese,Chinese,2006年3月29日安全理事会第5402次会议通过
35,eng_Latn,English,Chinese,(d) Technical cooperation
35,zh,Chinese,Chinese,(d) 技术合作
36,eng_Latn,English,Chinese,"From the Asian group: Ms. Leela Padmini Batuwitage, Sri Lanka"
36,zh,Chinese,Chinese,亚洲组： Leela Padmini Batuwitage女士，斯里兰卡
37,eng_Latn,English,Chinese,If he has what it takes to conquer Suzuran.
37,zh,Chinese,Chinese,如果他是可以制霸铃兰的人
38,eng_Latn,English,Chinese,Indian National Trust for Art and Cultural Heritage
38,zh,Chinese,Chinese,印度国家艺术和文化遗产基金会
39,eng_Latn,English,Chinese,Report of the International Narcotics Control Board for 2006
39,zh,Chinese,Chinese,1. 国际麻醉品管制局2006年报告
40,eng_Latn,English,Chinese,So you know the story of House Reyne of Castamere?
40,zh,Chinese,Chinese,那你知道卡斯特梅城雷耶斯家族的故事吗
41,eng_Latn,English,Chinese,"And then it starts asking me if I'm calling from ""Gooklyn."""
41,zh,Chinese,Chinese,"然后它又开始问我 是不是从""古克林""打来的"
42,eng_Latn,English,Chinese,"O man, indeed you have to surely run towards your Lord, and to meet him."
42,zh,Chinese,Chinese,人啊！你必定勉力工作，直到会见你的主，你将看到自己的劳绩。
43,eng_Latn,English,Chinese,Introduction
43,zh,Chinese,Chinese,一. 导言
44,eng_Latn,English,Chinese,"But, uh, we should, we should hang out while I'm here."
44,zh,Chinese,Chinese,但是，呃，我们应该，我们应该 挂出，而我在这里。
45,eng_Latn,English,Chinese,"The government must cope with the short-term effects of the slowdown while continuing to implement reforms aimed at smoothing the economy’s shift to a new growth model and expanding the role of markets. Foreign firms are seeking access to China’s rapidly growing middle class, which the McKinsey Global Institute estimates already exceeds 200 million."
45,zh,Chinese,Chinese,中国对于世界可谓牵一发而动全身，而中国当局已经快要左支右绌了。中国政府必须解决减速的短期影响，同时继续实施旨在让经济平稳过渡到新增长模式和扩大市场作用的改革。外国企业正在试图争夺中国快速增长的中产阶级。据麦肯锡全球研究所（McKinsey Global Institute）估算，中国中产阶级已超过2亿人。但这需要稳定的商业环境，包括增加政府批准的透明度和放松资本管制。
46,eng_Latn,English,Chinese,"Sweetie, everybody's talking about Chloe."
46,zh,Chinese,Chinese,亲爱的，大家都在谈论克洛伊
47,eng_Latn,English,Chinese,Who the fuck am I?
47,zh,Chinese,Chinese,"以为我是谁, 妈的?"
48,eng_Latn,English,Chinese,"Countries are subject to varying degrees of fiscal constraint, assuming (especially in the case of Europe) a limited appetite for unlimited, unconditional cross-border transfers. Those that have some flexibility can and should use it to protect the unemployed and the young, accelerate deleveraging, and implement reforms designed to support growth and employment; others’ options – and thus their medium-term growth prospects – are more constrained."
48,zh,Chinese,Chinese,各个国家都受到不同程度的财政制约，试想一下（尤其是欧洲）有限的容量面对无限且无条件的跨境转移。那些有灵活性的国家可以也应该用这种灵活性来保护失业者和年轻人，加速去杠杆化，并实施用来支持增长和促进就业的改革；其它国家的选择——以及它们的中期增长前景——就比较受限制。
49,eng_Latn,English,Chinese,- Nottingham.
49,zh,Chinese,Chinese,- 诺丁汉
50,eng_Latn,English,Chinese,-You are dead!
50,zh,Chinese,Chinese,- 你死了
51,eng_Latn,English,Chinese,[ crickets chirping ]
51,zh,Chinese,Chinese,[蟋蟀鸣]
52,eng_Latn,English,Chinese,It was exhausting.
52,zh,Chinese,Chinese,它正在用尽。
53,eng_Latn,English,Chinese,If you won't open them... l'll staple your eyelids to your forehead.
53,zh,Chinese,Chinese,如果你不张开眼睛... 我会把你的眼皮钉在你的额头上
54,eng_Latn,English,Chinese,You heard her. My hands are tied.
54,zh,Chinese,Chinese,你听到她的话了 我无能为力
55,eng_Latn,English,Chinese,- She's on the pill.
55,zh,Chinese,Chinese,- 她吃了避孕药
56,eng_Latn,English,Chinese,"But he who is given his Record behind his back,-"
56,zh,Chinese,Chinese,至於從背後接受功過簿者，
57,eng_Latn,English,Chinese,There's another one!
57,zh,Chinese,Chinese,这边还有一只
58,eng_Latn,English,Chinese,If you open the door he'll be a black Dr. Phil for the next 40 minutes.
58,zh,Chinese,Chinese,只要你一回话，接下来的四十分钟他便会说个没完没了
59,eng_Latn,English,Chinese,"Listen, your mother, she gave up on herself, not on you."
59,zh,Chinese,Chinese,听着 你妈妈 她抛弃的是自己 不是你
60,eng_Latn,English,Chinese,Introduction
60,zh,Chinese,Chinese,C. 本国
61,eng_Latn,English,Chinese,Deplete the Ozone Layer
61,zh,Chinese,Chinese,第二十五届会议
62,eng_Latn,English,Chinese,(b) Unliquidated obligations
62,zh,Chinese,Chinese,(b) 未清偿债务
63,eng_Latn,English,Chinese,Is that you?
63,zh,Chinese,Chinese,几天后...
64,eng_Latn,English,Chinese,Fiftieth session
64,zh,Chinese,Chinese,第五届会议
65,eng_Latn,English,Chinese,"'Proceed with highest caution. ' No, please!"
65,zh,Chinese,Chinese,- 进入最高警戒状态 - 不要，请不要动！
66,eng_Latn,English,Chinese,"Where's callaghan? Okay, listen, I gotta find this kid"
66,zh,Chinese,Chinese,好了 听我说 我要在Luke发现之前 找到那小子
67,eng_Latn,English,Chinese,"- Hi, guys."
67,zh,Chinese,Chinese,嗨，伙计们。
68,eng_Latn,English,Chinese,"Taking note of the reported statement of the Chief Minister that his preference was for independence within a political union with the Organization of Eastern Caribbean States and that self-reliance was more of a priority than independence,"
68,zh,Chinese,Chinese,注意到据报首席部长发表声明，表示主张在东加勒比国家组织的政治联盟范围内实现独立，但自力更生比独立更具优先地位，
69,eng_Latn,English,Chinese,Get him down!
69,zh,Chinese,Chinese,放他下来！
70,eng_Latn,English,Chinese,OPINION No.
70,zh,Chinese,Chinese,第25/2004号意见(沙特阿拉伯)
71,eng_Latn,English,Chinese,Undercarriage is clean.
71,zh,Chinese,Chinese,底盘没问题
72,eng_Latn,English,Chinese,My rules: I put a strong climber with a weaker one.
72,zh,Chinese,Chinese,我的原则是 我把好手跟菜鸟配对一起爬
73,eng_Latn,English,Chinese,"With regard to joint statements by non-governmental organizations, the following timing was proposed: one or two non-governmental organizations:"
73,zh,Chinese,Chinese,关于非政府组织的联合发言，兹建议下列发言时间：一个或两个非政府组织：5分钟；三至五个非政府组织：7分钟；六至十个非政府组织：10分钟；10个以上的非政府组织：12分钟。
74,eng_Latn,English,Chinese,Could you throw in free detergent and the use of your barbecue?
74,zh,Chinese,Chinese,可以免费用你的洗衣液 和烧烤炉吗
75,eng_Latn,English,Chinese,Interpretation into the other official languages by interpreters of the Secretariat shall be based upon the interpretation given in the first official language.
75,zh,Chinese,Chinese,"秘书处口译员应根据最先译出的正式语文,将发言译成其他正式语文。"
76,eng_Latn,English,Chinese,I so knowthat. That's what's great.
76,zh,Chinese,Chinese,一点都没错，我很高兴
77,eng_Latn,English,Chinese,Harlend thinks you're some kind of criminal mastermind.
77,zh,Chinese,Chinese,哈兰德 感谢你的罪案策划
78,eng_Latn,English,Chinese,"In short, the US has moved to bring together all of theeconomies in the region that are worried about China’sbeggar-thy-neighbor trade and exchange-rate policies. For the US,the eight other TPP countries, with a combined population of 200million, constitute its fourth largest export market, behind onlyChina, the European Union, and Japan."
78,zh,Chinese,Chinese,简言之，美国正在试图团结该地区所有担心中国以邻为壑的贸易和汇率政策的国家。对美国来说，其他八个TPP国家总人口可达2亿，能够构成其仅次于中国、欧盟和日本的第四大出口市场。如果日本加入的话，TPP的重要性还能显著增加。
79,eng_Latn,English,Chinese,"So, why would you want to go into business with my father?"
79,zh,Chinese,Chinese,你为什么想跟我父亲做生意呢
80,eng_Latn,English,Chinese,Sixty-second session
80,zh,Chinese,Chinese,第六十二届会议
81,eng_Latn,English,Chinese,- Danny...
81,zh,Chinese,Chinese,- 丹尼.
82,eng_Latn,English,Chinese,And now you're just gonna be another nameless dead junkie.
82,zh,Chinese,Chinese,現在你將變成一個無人知曉的死人
83,eng_Latn,English,Chinese,You stay away from me.
83,zh,Chinese,Chinese,你。 。 。
84,eng_Latn,English,Chinese,"You're here to reboot network protocols, which will shut the Internet access off completely."
84,zh,Chinese,Chinese,你来这里是为了重启网络协议 需要关掉整个网络
85,eng_Latn,English,Chinese,"Sure, honey."
85,zh,Chinese,Chinese,当然，亲爱的
86,eng_Latn,English,Chinese,"Yeah, I noticed."
86,zh,Chinese,Chinese,我注意到了
87,eng_Latn,English,Chinese,It really worries me that what I'm doing right now is like being a whore.
87,zh,Chinese,Chinese,我真的会担心我在做的这些事 本质上就是出来卖
88,eng_Latn,English,Chinese,We are in favour of comprehensive international cooperation to achieve the goals of the final declaration of the Moscow Ministerial Conference on Drug Trafficking Routes from Afghanistan.
88,zh,Chinese,Chinese,我们赞成开展全面的国际合作，实现切断阿富汗贩毒渠道的莫斯科部长级会议最后宣言的目标。
89,eng_Latn,English,Chinese,"The President: I should like to inform the Council that I have received a letter from the representative of Lebanon, in which he requests to be invited to participate in the consideration of the item on the Council's agenda."
89,zh,Chinese,Chinese,主席(以英语发言)：我谨通知安理会，我收到了黎巴嫩代表的来信，他在信中要求邀请他参加对安理会议程上项目的审议。
90,eng_Latn,English,Chinese,The man you're remembering is just a gunman.
90,zh,Chinese,Chinese,你还记得谁的人
91,eng_Latn,English,Chinese,"- i could care less, basically."
91,zh,Chinese,Chinese,-基本上我并不在意
92,eng_Latn,English,Chinese,"And Sally Mitchell, this is Martin Sixsmith, used to be the BBC's man in Moscow."
92,zh,Chinese,Chinese,莎莉・米契尔 这是马丁・西克史密斯 曾经是BBC驻莫斯科记者
93,eng_Latn,English,Chinese,"By the time we get to the car, he'll be out cold."
93,zh,Chinese,Chinese,他会一直晕着，被我们拖上车
94,eng_Latn,English,Chinese,"Now, listen."
94,zh,Chinese,Chinese,现在，听着。
95,eng_Latn,English,Chinese,"At the heart of that process must be the principles of balance between obligations and reciprocity, accountability and non-discrimination; a small group of powerful nations must not be the sole beneficiaries of the non-proliferation regime."
95,zh,Chinese,Chinese,这一过程的核心必须是义务与互惠、问责制和不歧视之间的平衡原则；不能让一小批强大国家成为不扩散制度的唯一受益者。
96,eng_Latn,English,Chinese,You can't go in there!
96,zh,Chinese,Chinese,你不能进来的
97,eng_Latn,English,Chinese,"The World Bank and the United Nations should work jointly on needs assessments, with full national ownership."
97,zh,Chinese,Chinese,世界银行和联合国应该联合一起，在由国家充分掌有下，对各种需要进行评估。
98,eng_Latn,English,Chinese,"- Thank you, Your Honor."
98,zh,Chinese,Chinese,謝謝 庭上...
99,eng_Latn,English,Chinese,Let's have something to drink.
99,zh,Chinese,Chinese,咱们喝一杯 Let's have something to drink.
100,eng_Latn,English,Chinese,Wish I'd just gone home and played FIFA like Biggz said.
100,zh,Chinese,Chinese,真希望我只是回到家 像比格兹说的那样玩游戏
101,eng_Latn,English,Chinese,- Chandra Dawkin?
101,zh,Chinese,Chinese,- 桑德拉·道金？
102,eng_Latn,English,Chinese,COMPUTER: Vector one entered and confirmed.
102,zh,Chinese,Chinese,第一星系确认进入
103,eng_Latn,English,Chinese,"Bailey, what would I do without you?"
103,zh,Chinese,Chinese,Bailey 沒你我可怎麼辦?
104,eng_Latn,English,Chinese,"I know this is a terrible shock for you, but you need to try and remain calm."
104,zh,Chinese,Chinese,我知道这对你打击不小，但你得冷静下来
105,eng_Latn,English,Chinese,I'm Mary Jane.
105,zh,Chinese,Chinese,-我是玛丽简
106,eng_Latn,English,Chinese,Not to mention that he's been shot here twice with a. 45.
106,zh,Chinese,Chinese,更不用說他在這裡 被一把點４５打了兩槍
107,eng_Latn,English,Chinese,Available from www.unidroit.org.
107,zh,Chinese,Chinese,可查阅www.unidroit.org。
108,eng_Latn,English,Chinese,"TRUE on success, FALSE on error."
108,zh,Chinese,Chinese,"Returns: TRUE on success, FALSE on error."
109,eng_Latn,English,Chinese,"The links had to be investigated between desertification, biological diversity, and climate change, with a view to finding solutions to the severe pressures exerted on natural resources by energy needs, agricultural activities and population growth."
109,zh,Chinese,Chinese,60. 必须对荒漠化、生物多样性与气候变化之间的联系进行调查，以确定如何解决能源需求、农业活动和人口增长对自然资源所产生的严重影响。
110,eng_Latn,English,Chinese,The British delegation reiterated its position.
110,zh,Chinese,Chinese,英国代表团重申其立场。
111,eng_Latn,English,Chinese,"1980: License en droit (bachelor's degree in law), National School of Public Administration, Rabat, Morocco"
111,zh,Chinese,Chinese,1980年：摩洛哥拉巴特国家公共行政学院毕业，法学学士
112,eng_Latn,English,Chinese,Agenda item 9
112,zh,Chinese,Chinese,议程项目9
113,eng_Latn,English,Chinese,I should be grateful if you would have the text of this letter circulated as a document of the Security Council.
113,zh,Chinese,Chinese,请将本信作为安全理事会的文件分发为荷。
114,eng_Latn,English,Chinese,Then we agree.
114,zh,Chinese,Chinese,那我们达成一致
115,eng_Latn,English,Chinese,"I ask nothing in return but a kind smile."""
115,zh,Chinese,Chinese,"""我不求回报 只要你对我一笑"""
116,eng_Latn,English,Chinese,I did not know his crew very well.
116,zh,Chinese,Chinese,但对他的船员所知不多
117,eng_Latn,English,Chinese,Where are you fucking going?
117,zh,Chinese,Chinese,你狗日的往哪儿跑？
118,eng_Latn,English,Chinese,"We are here We, we are here"
118,zh,Chinese,Chinese,我们到了 我们 我们到了
119,eng_Latn,English,Chinese,"However, I think it desirable to make clear that the Committee has not condemned the practice of “faceless justice” in itself, and in all circumstances."
119,zh,Chinese,Chinese,但是，我认为需要明确表明，委员会没有谴责所有情况下的“匿名法官”做法本身。
120,eng_Latn,English,Chinese,Check these out!
120,zh,Chinese,Chinese,检查这些了！
121,eng_Latn,English,Chinese,Go on Dus...
121,zh,Chinese,Chinese,加油塵. .
122,eng_Latn,English,Chinese,"Further to my letter dated 20 July 2000 (S/2000/735, annex), I have the honour to refer to the recent decision of the Turkish Grand National Assembly, acting on the recommendation of the Government, to renew the mandate of the so-called “Operation Northern Watch” in Turkish territory for a further period of six months with effect from 30 June 2000."
122,zh,Chinese,Chinese,继我2000年7月20日的信（S/2000/735，附件）之后，谨提及土耳其大国民议会最近按照政府的建议决定将土耳其领土内所谓的“北部监测行动”的任务期限从2000年6月30日起再延长六个月。
123,eng_Latn,English,Chinese,See you some other day
123,zh,Chinese,Chinese,對了，老總，改天我到報館去拜訪你
124,eng_Latn,English,Chinese,How has this spring been for you?
124,zh,Chinese,Chinese,这个春天过得怎么样？
125,eng_Latn,English,Chinese,"As a result, training programmes will not be carried out unless positions for practical work and gaining work experience have previously been secured."
125,zh,Chinese,Chinese,结果，凡是参加培训方案的学员都能获得具体的工作岗位并且取得工作经验。
126,eng_Latn,English,Chinese,"One, two, three."
126,zh,Chinese,Chinese,一 二 三
127,eng_Latn,English,Chinese,He put the happiness of a few furry creatures above his own flesh and blood.
127,zh,Chinese,Chinese,他把那些毛茸茸的生物 He put the happiness of a few furry creatures 看得比自己的亲骨肉还重要 above his own flesh and blood.
128,eng_Latn,English,Chinese,"Ally, I'm in the kitchen."
128,zh,Chinese,Chinese,艾莉，我在厨房
129,eng_Latn,English,Chinese,You are under arrest!
129,zh,Chinese,Chinese,不要动 把手放在背后
130,eng_Latn,English,Chinese,"(f) To conduct seminars, as appropriate, for the purpose of receiving and disseminating information on the work of the Special Committee, and to facilitate participation by the peoples of the Non-Self-Governing Territories in those seminars;"
130,zh,Chinese,Chinese,(f) 酌情举办讨论会，以便获取和传播关于特别委员会工作的信息，并为非自治领土人民参加这些讨论会提供便利；
131,eng_Latn,English,Chinese,"The Committee recalls that, while it gives considerable weight to the findings of fact of the State party's bodies, it is entitled to freely assess the facts of each case."
131,zh,Chinese,Chinese,委员会回顾说，尽管委员会相当重视缔约国有关机构的事实调查结论，但委员会有权自由评估每个案件的事实。
132,eng_Latn,English,Chinese,"Make war on them. Allah will chastise them through you and will humiliate them. He will grant you victory over them, and will soothe the bosoms of those who believe,"
132,zh,Chinese,Chinese,你們應當討伐他們，真主要借你們的手來懲治他們，凌辱他們，並相助你們制服他們，以安慰信道的民眾，
133,eng_Latn,English,Chinese,We just located the car.
133,zh,Chinese,Chinese,我们只要找到车。
134,eng_Latn,English,Chinese,The show's on now.
134,zh,Chinese,Chinese,表演進行中
135,eng_Latn,English,Chinese,Agenda item 64: Promotion and protection of human rights (continued)
135,zh,Chinese,Chinese,议程项目64：促进和保护人权（续）
136,eng_Latn,English,Chinese,- He told us.
136,zh,Chinese,Chinese,- He told us. He told you.
137,eng_Latn,English,Chinese,He hoped development partners would make generous contributions to the LDC Trust Fund.
137,zh,Chinese,Chinese,他希望各发展合作伙伴向最不发达国家信托基金慷慨捐款。
138,eng_Latn,English,Chinese,Then we shall see who is the better man.
138,zh,Chinese,Chinese,-不 就这样办
139,eng_Latn,English,Chinese,I deserve to die
139,zh,Chinese,Chinese,是，我该死，我该死
140,eng_Latn,English,Chinese,I order you!
140,zh,Chinese,Chinese,我命令你回来！
141,eng_Latn,English,Chinese,You haven't got a single proper entry in this register.
141,zh,Chinese,Chinese,- 你沒有權利進去 - 長官 - 跟我來...
142,eng_Latn,English,Chinese,I'll tell you the story.
142,zh,Chinese,Chinese,告诉你一个故事
143,eng_Latn,English,Chinese,The nomenclature alone is enough to make your head spin.
143,zh,Chinese,Chinese,光是術語就足夠讓你們頭暈了
144,eng_Latn,English,Chinese,- Not in any way.
144,zh,Chinese,Chinese,不论什么情况 我都不会
145,eng_Latn,English,Chinese,It's gonna work.
145,zh,Chinese,Chinese,这会工作。
146,eng_Latn,English,Chinese,"13. Urges the nuclear-weapon States to carry out further reductions of non-strategic nuclear weapons, based on unilateral initiatives and as an integral part of the nuclear arms reduction and disarmament process;"
146,zh,Chinese,Chinese,13. 敦促核武器国家根据单方面的主动行动，并作为削减核武器和裁军进程不可分割的组成部分，进一步削减非战略性核武器；
147,eng_Latn,English,Chinese,I won't ask where the money comes from.
147,zh,Chinese,Chinese,我都没问这些钱是从何来
148,eng_Latn,English,Chinese,"Well, as of September 1 st... we will no longer be the Cock-rocking Kings of Tampa."
148,zh,Chinese,Chinese,从九月一号起 我们不再只是坦帕市的脱衣舞至尊王者
149,eng_Latn,English,Chinese,The European Union must tell the Greek Cypriots that they will not be admitted before a final settlement.
149,zh,Chinese,Chinese,欧洲联盟必须告诉希族塞人在实现最后解决之前将不会接纳他们。
150,eng_Latn,English,Chinese,- Yeah. Yeah.
150,zh,Chinese,Chinese,一是的 是的
151,eng_Latn,English,Chinese,"Sir, I'm gonna ask you to step out the vehicle."
151,zh,Chinese,Chinese,先生 我现在要你从车里出来
152,eng_Latn,English,Chinese,"In implementing the proposed increase in aid, both its growth-enhancing and social development goals will need to be carefully balanced in order to ensure that higher rates of economic growth can be sustained in order to reduce aid dependency in the longer-term and ensure that the reductions in poverty are irreversible."
152,zh,Chinese,Chinese,在分发拟议的增加援助额时，必须审慎地均衡促进增长的目标和社会发展目标，以在较长期内减少对援助的依赖，并确保减贫的效果不会逆转。
153,eng_Latn,English,Chinese,- Don't worry
153,zh,Chinese,Chinese,- 别担心
154,eng_Latn,English,Chinese,Multi-year funding framework
154,zh,Chinese,Chinese,多年筹资框架
155,eng_Latn,English,Chinese,"Five years ago, a man named Sylar exploded in the heart of the city, changing the world forever."
155,zh,Chinese,Chinese,五年前，名叫赛勒的人 在市中心爆炸 永远改变了世界
156,eng_Latn,English,Chinese,"Jake, Jake! Oh, no, no!"
156,zh,Chinese,Chinese,杰克 杰克 不 不
157,eng_Latn,English,Chinese,So what if I did?
157,zh,Chinese,Chinese,有又怎麼樣？
158,eng_Latn,English,Chinese,"""Hey, handsome man, let's go undercover."
158,zh,Chinese,Chinese,"喂，帅男帅男，来玩卧底游戏 ""Hey, handsome man, let's go undercover."
159,eng_Latn,English,Chinese,- Did you notice?
159,zh,Chinese,Chinese,- 你聽出來了嗎？
160,eng_Latn,English,Chinese,"If current estimates are correct, around 10% of users (andone in six who start in adolescence) may become dependent onmarijuana – that is, find it difficult to control or discontinuetheir use. A minority of these problem users will seek professionalhelp to quit."
160,zh,Chinese,Chinese,如果目前的估计是正确的话，大概有10%的使用者（其中1/6在青少年时期就开始吸食）将发展为大麻成瘾——这意味着他们将难以自我控制或者戒除大麻。而其中只有一小部分会寻求专业人士的帮助。
161,eng_Latn,English,Chinese,And then it didn't rain a drop for a full year.
161,zh,Chinese,Chinese,然后那里整年都没有下过一滴雨
162,eng_Latn,English,Chinese,You're gonna kill us both.
162,zh,Chinese,Chinese,你这样我们都会死的
163,eng_Latn,English,Chinese,"Well, then you probably won't want to be looking at that."
163,zh,Chinese,Chinese,那么，你可能不想看这个
164,eng_Latn,English,Chinese,Yeah? She sleep over yet?
164,zh,Chinese,Chinese,是吗 她还是没回来住?
165,eng_Latn,English,Chinese,- So I'm good?
165,zh,Chinese,Chinese,- 那么，通过啦？
166,eng_Latn,English,Chinese,"Tell me something, Henry."
166,zh,Chinese,Chinese,告诉我一些情况，亨利
167,eng_Latn,English,Chinese,"The Assistant Director, Division for Finance, Budget and Administration, is responsible for the implementation of this recommendation."
167,zh,Chinese,Chinese,财务、预算和行政司助理主任负责执行本建议
168,eng_Latn,English,Chinese,"Walk silently, but let her know you're there."
168,zh,Chinese,Chinese,脚步要轻，还不能让小姐听不见
169,eng_Latn,English,Chinese,"At the end of all this,"
169,zh,Chinese,Chinese,"一切结束之后 At the end of all this,"
170,eng_Latn,English,Chinese,"Look, kid, with your record, you're 4F."
170,zh,Chinese,Chinese,"看吶, 年轻人, 根据你的过往记录, 你已经 4F."
171,eng_Latn,English,Chinese,Treaties relating to the occasion for resort to armed conflict
171,zh,Chinese,Chinese,导致诉诸武装冲突的有关条约
172,eng_Latn,English,Chinese,"Sometimes we get to them, there's so many maggots, it looks like a stewpot boiling."
172,zh,Chinese,Chinese,有时我们走近了看他们 就看见 很多蛆虫 简直像煮开了的炖锅
173,eng_Latn,English,Chinese,Commission on Population and Development
173,zh,Chinese,Chinese,人口与发展委员会
174,eng_Latn,English,Chinese,The paragraph should read:
174,zh,Chinese,Chinese,该段应为：
175,eng_Latn,English,Chinese,- I'm not testifying!
175,zh,Chinese,Chinese,- 我不会去作证的! - 我知道.
176,eng_Latn,English,Chinese,"Flowers for the man. l'm none of those things, Ali."
176,zh,Chinese,Chinese,我什么都不是，阿里
177,eng_Latn,English,Chinese,The Office of Internal Oversight Services was informed that the Division continues to work consistently with other United Nations agencies to ensure that all issues of sustainable development are covered.
177,zh,Chinese,Chinese,10. 监督厅获悉，可持续发展司继续不断地与联合国其他机构合作，确保囊括可持续发展的所有问题。
178,eng_Latn,English,Chinese,I'm gonna call you later.
178,zh,Chinese,Chinese,我会再给你打电话的
179,eng_Latn,English,Chinese,(Such were the circumstances) when We sent forth Noah to his people. (He said): 'I have been sent to you to warn you plainly
179,zh,Chinese,Chinese,我确已派遣努哈去教化他的宗族说：我对你们确是一个坦率的警告者。
180,eng_Latn,English,Chinese,(Agenda item 1)
180,zh,Chinese,Chinese,一、会议开幕 (议程项目1)
181,eng_Latn,English,Chinese,What the hell?
181,zh,Chinese,Chinese,她一定說我的電子郵箱正來了
182,eng_Latn,English,Chinese,(c) The Convention on Nuclear Safety;
182,zh,Chinese,Chinese,(c) 《核安全公约》；
183,eng_Latn,English,Chinese,I guess - about my future.
183,zh,Chinese,Chinese,我想是我的将来吧
